Time (UTC),Open,High,Low,Close,Volume 
2015.07.17 09:00:00,0.73964,0.74058,0.73773,0.73817,18789.64
2015.07.17 13:00:00,0.73817,0.73875,0.73678,0.73821,17662.38
2015.07.17 17:00:00,0.73825,0.73854,0.73727,0.73749,6124.82
2015.07.19 21:00:00,0.7385,0.73862,0.7366,0.73728,7791.08
2015.07.20 01:00:00,0.73727,0.73767,0.73288,0.73589,18608.17
2015.07.20 05:00:00,0.73589,0.73982,0.73511,0.73783,21995.82
2015.07.20 09:00:00,0.73786,0.7387,0.73657,0.7378,19384.642
2015.07.20 13:00:00,0.7378,0.73914,0.7347,0.73773,20301.69
2015.07.20 17:00:00,0.73775,0.73834,0.73695,0.73736,12850.05
2015.07.20 21:00:00,0.73741,0.73776,0.73677,0.73723,12445.21
2015.07.21 01:00:00,0.73722,0.73868,0.73488,0.73519,19719.53
2015.07.21 05:00:00,0.73518,0.73812,0.73419,0.73723,24420.49
2015.07.21 09:00:00,0.73722,0.73848,0.73629,0.73701,23051.64
2015.07.21 13:00:00,0.737,0.74502,0.73689,0.74449,27784.7
2015.07.21 17:00:00,0.74448,0.74468,0.74184,0.74217,12836.09
2015.07.21 21:00:00,0.7422,0.74318,0.74173,0.74185,14655.67
2015.07.22 01:00:00,0.74185,0.74395,0.73736,0.74202,21471.4
2015.07.22 05:00:00,0.74207,0.74301,0.73951,0.74075,20847.8
2015.07.22 09:00:00,0.74076,0.74209,0.73816,0.73888,22525.57
2015.07.22 13:00:00,0.73886,0.73917,0.73614,0.7373,25335.14
2015.07.22 17:00:00,0.7373,0.7381,0.73667,0.7381,11951.55
2015.07.22 21:00:00,0.73737,0.73961,0.73572,0.7363,16246.6
2015.07.23 01:00:00,0.73629,0.73895,0.73614,0.73753,13877.53
2015.07.23 05:00:00,0.73755,0.74181,0.73626,0.74136,21327.6
2015.07.23 09:00:00,0.74135,0.74162,0.73736,0.73742,22183.53
2015.07.23 13:00:00,0.7374,0.7381,0.73568,0.73689,24243.13
2015.07.23 17:00:00,0.7369,0.73753,0.73527,0.7357,13050.68
2015.07.23 21:00:00,0.73573,0.73628,0.73442,0.73563,13754.57
2015.07.24 01:00:00,0.73563,0.73574,0.72698,0.72934,20142.83
2015.07.24 05:00:00,0.72932,0.73084,0.72818,0.72984,18690.31
2015.07.24 09:00:00,0.72984,0.73026,0.72605,0.72785,20303.31
2015.07.24 13:00:00,0.72784,0.72937,0.7264,0.72747,20786.76
2015.07.24 17:00:00,0.72746,0.72892,0.72674,0.72872,7174.51
2015.07.26 21:00:00,0.72724,0.72843,0.72688,0.72796,9943.34
2015.07.27 01:00:00,0.72795,0.72994,0.72777,0.72869,13650.74
2015.07.27 05:00:00,0.72867,0.7304,0.72665,0.72872,24538.61
2015.07.27 09:00:00,0.72873,0.73018,0.72785,0.72893,23570.54
2015.07.27 13:00:00,0.72895,0.73255,0.7288,0.72969,23199.42
2015.07.27 17:00:00,0.72969,0.72998,0.72663,0.72706,9749
2015.07.27 21:00:00,0.7272,0.72883,0.72661,0.72849,12461.21
2015.07.28 01:00:00,0.72849,0.73216,0.72577,0.7316,17932.59
2015.07.28 05:00:00,0.7316,0.73273,0.72942,0.73116,22518.95
2015.07.28 09:00:00,0.73115,0.73249,0.72987,0.7316,21266.03
2015.07.28 13:00:00,0.7316,0.73448,0.72982,0.73277,26644.87
2015.07.28 17:00:00,0.73278,0.73421,0.73231,0.73391,11469.17
2015.07.28 21:00:00,0.73395,0.73511,0.73233,0.73451,15411.27
2015.07.29 01:00:00,0.73453,0.73514,0.73189,0.732,15370.66
2015.07.29 05:00:00,0.73201,0.7325,0.73013,0.7321,20585.53
2015.07.29 09:00:00,0.73206,0.73229,0.73019,0.7314,18411.89
2015.07.29 13:00:00,0.73138,0.73321,0.72941,0.73124,22285.19
2015.07.29 17:00:00,0.73125,0.73474,0.72826,0.72979,20982.99
2015.07.29 21:00:00,0.72988,0.73065,0.72875,0.73032,13032.15
2015.07.30 01:00:00,0.73033,0.73223,0.73003,0.73197,16088.08
2015.07.30 05:00:00,0.73198,0.73234,0.72864,0.73055,19871.91
2015.07.30 09:00:00,0.73054,0.73103,0.72556,0.72806,23572.01
2015.07.30 13:00:00,0.72806,0.72864,0.7264,0.72836,24812.22
2015.07.30 17:00:00,0.7283,0.72953,0.72801,0.72953,12168.5
2015.07.30 21:00:00,0.72949,0.73053,0.72875,0.7295,13691.99
2015.07.31 01:00:00,0.72947,0.73104,0.7285,0.73029,15331.45
2015.07.31 05:00:00,0.73029,0.73038,0.72657,0.72732,17242.19
